epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,55356.8,0.26139,0.20632,0.85974,0.91423,0.91055,0.92018,0.86571,0.20306,0.1761,0.75402,0.000352076,0.000352076,0.000352076
71,56170.3,0.25608,0.20251,0.8577,0.86919,0.93337,0.94852,0.90112,0.20657,0.19164,0.75482,0.000341077,0.000341077,0.000341077
72,57011.5,0.25181,0.19772,0.85899,0.91563,0.90928,0.96819,0.91346,0.20322,0.18081,0.75461,0.000330078,0.000330078,0.000330078
73,57838.4,0.24776,0.20065,0.85735,0.88287,0.92489,0.94272,0.89344,0.20708,0.19207,0.75369,0.000319079,0.000319079,0.000319079
74,58640.5,0.25592,0.19968,0.85595,0.88092,0.93981,0.95576,0.90457,0.20487,0.18411,0.7535,0.00030808,0.00030808,0.00030808
75,59476.3,0.24186,0.19114,0.85481,0.8838,0.93518,0.95879,0.90825,0.20439,0.18123,0.75398,0.000297081,0.000297081,0.000297081
76,60308.3,0.24772,0.19359,0.85647,0.96149,0.94449,0.97573,0.92337,0.20473,0.16357,0.75378,0.000286083,0.000286083,0.000286083
77,61113,0.24056,0.1946,0.8515,0.9153,0.962,0.96921,0.91765,0.19945,0.16986,0.75327,0.000275084,0.000275084,0.000275084
78,61949,0.24248,0.19056,0.85467,0.8819,0.9434,0.96324,0.911,0.20473,0.17794,0.75469,0.000264085,0.000264085,0.000264085
79,62778.6,0.24266,0.19211,0.85633,0.94201,0.9138,0.96941,0.91809,0.20205,0.16907,0.75405,0.000253086,0.000253086,0.000253086
80,63617.6,0.24895,0.19001,0.85262,0.9157,0.92043,0.96489,0.91631,0.20269,0.18128,0.75394,0.000242087,0.000242087,0.000242087
81,64451,0.23973,0.18657,0.85116,0.8944,0.93211,0.97221,0.92075,0.20382,0.1785,0.75477,0.000231088,0.000231088,0.000231088
82,65257.1,0.23633,0.18414,0.84958,0.90519,0.90228,0.94842,0.89862,0.20209,0.18019,0.75519,0.000220089,0.000220089,0.000220089
83,66082,0.23839,0.18466,0.8552,0.90626,0.91005,0.9668,0.91785,0.20158,0.17961,0.7525,0.00020909,0.00020909,0.00020909
84,66909.9,0.23047,0.18026,0.85411,0.92543,0.91096,0.96885,0.91994,0.20139,0.17334,0.75237,0.000198091,0.000198091,0.000198091
85,67718.2,0.23798,0.17865,0.85024,0.9553,0.9197,0.9771,0.92702,0.19953,0.16264,0.75209,0.000187092,0.000187092,0.000187092
86,68527.2,0.23999,0.18275,0.85349,0.93616,0.91049,0.97255,0.92296,0.20172,0.16418,0.75187,0.000176094,0.000176094,0.000176094
87,69335.4,0.23638,0.18018,0.85084,0.94541,0.91872,0.97635,0.92706,0.19458,0.15925,0.75088,0.000165095,0.000165095,0.000165095
88,70166.2,0.23569,0.1801,0.85176,0.94875,0.92027,0.97269,0.92355,0.20064,0.16222,0.75213,0.000154096,0.000154096,0.000154096
89,71011.6,0.23422,0.17667,0.85208,0.9447,0.93339,0.97131,0.9226,0.19733,0.1612,0.75186,0.000143097,0.000143097,0.000143097
90,71837.7,0.23344,0.17852,0.85335,0.94151,0.95888,0.97546,0.92367,0.20021,0.15884,0.75212,0.000132098,0.000132098,0.000132098
91,72672.3,0.21358,0.13836,0.81141,0.89804,0.92698,0.95962,0.91092,0.20042,0.17197,0.75255,0.000121099,0.000121099,0.000121099
92,73463.4,0.21301,0.13753,0.80822,0.90781,0.91643,0.96109,0.91365,0.20081,0.17607,0.75313,0.0001101,0.0001101,0.0001101
93,74251.3,0.21262,0.13469,0.809,0.91899,0.92359,0.97027,0.92067,0.19957,0.16533,0.75207,9.91012e-05,9.91012e-05,9.91012e-05
94,75038.6,0.20661,0.12816,0.80777,0.91647,0.91332,0.96508,0.91689,0.1964,0.16877,0.75067,8.81023e-05,8.81023e-05,8.81023e-05
95,75839,0.2144,0.1463,0.81684,0.92231,0.9312,0.96699,0.91749,0.19696,0.16003,0.75049,7.71034e-05,7.71034e-05,7.71034e-05
